ORDER_DATE,CAR_NUM,VISIT_ORDER,LAT,LON
20220424,CE01,10,1.31954,103.86519
20220424,CE01,11,1.3084,103.86225
20220424,CE01,12,1.31522,103.86681
20220424,CE01,13,1.31536,103.86683
20220424,CE01,14,1.31711,103.86082
20220424,CE01,15,1.30771,103.85831
20220424,CE01,16,1.31585,103.86551
20220424,CE01,17,1.30746,103.86008
20220424,CE01,18,1.3114,103.85659
20220424,CE01,19,1.31954,103.86519
20220424,CE01,20,1.31685,103.86321
20220424,CE01,21,1.31895,103.89445
20220424,CC01,0,1.31895,103.89445
20220424,CC01,1,1.31062,103.73525
20220424,CC01,2,1.31062,103.73525
20220424,CC01,3,1.27726,103.80874
20220424,CC01,4,1.27726,103.80874
20220424,CC01,5,1.27535,103.81117
20220424,CC01,6,1.3054,103.79093
20220424,CC01,7,1.29498,103.7883
20220424,CC01,8,1.29703,103.79384
20220424,CC01,9,1.2777,103.80085
20220424,CC01,10,1.30614,103.78436
20220424,CC01,11,1.2755,103.79578
20220424,CC01,12,1.27535,103.79631
20220424,CC01,13,1.31895,103.89445
20220424,CA06,0,1.31895,103.89445
20220424,CA06,1,1.31337,103.88259
20220424,CA06,2,1.31854,103.89007
20220424,CA06,3,1.31854,103.89007
20220424,CA06,4,1.31207,103.87718
20220424,CA06,5,1.32317,103.89766
20220424,CA06,6,1.31377,103.87625
20220424,CA06,7,1.31799,103.88149
20220424,CA06,8,1.31809,103.87624
